,Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_NotReported,Geography_Spain,Gender_Female,Gender_Male,Gender_NotSpecified
0,0.5,0.5279999999999999,0.48888888888888893,0.30000000000000004,0.45177107565864694,0.0,0.5,0.5,0.38892429226991176,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0.15384615384615385,0.816,0.3555555555555555,0.1,0.6143508306500063,0.0,0.5,0.5,0.3036155452845747,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0.5,0.382,0.4666666666666667,0.9,0.3990332090610973,0.0,0.5,0.5,0.9990780119501412,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,0.2,0.2619999999999999,0.4222222222222223,0.8,0.6070339554996215,0.3333333333333333,0.5,0.5,0.8754367042052515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.7219999999999999,0.4222222222222223,0.8,0.45396886042456525,0.0,0.0,0.0,0.40105640088628464,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0.3333333333333333,0.58,1.0,0.2,0.27274998386795213,0.3333333333333333,0.5,0.5,0.5625120198979002,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0.1875,0.662,0.4,0.5,0.5657758096125802,0.0,0.5,0.5,0.9257509092118296,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7,0.0,0.632,0.4222222222222223,0.7000000000000001,0.4189051419243567,0.0,0.5,0.5,0.23082649393017032,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,0.36363636363636365,0.64,0.5333333333333333,0.6000000000000001,0.44772612657194805,0.0,0.5,0.5,0.32850777249227303,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.0,0.30999999999999994,0.4222222222222223,0.5,0.5341068558951566,0.0,0.5,0.5,0.4686703080144154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,0.1875,0.5239999999999999,0.5333333333333333,1.0,0.30090906630656294,0.0,0.0,0.0,0.7484274748238456,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11,0.4117647058823529,0.64,0.48888888888888893,0.2,0.6574341797500333,0.6666666666666667,0.0,0.0,0.8851666334134909,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12,0.35,0.354,0.6222222222222223,1.0,0.5237774428653483,0.0,0.5,0.0,0.27470588441196137,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,0.0,0.9460000000000001,0.3555555555555555,0.30000000000000004,0.4187251086686232,0.0,0.5,0.0,0.5005749516137147,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.0,0.916,0.6444444444444445,0.8,0.5547909910354439,0.3333333333333333,0.0,0.5,0.37011924638803007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15,0.0,0.7719999999999999,0.2222222222222222,0.2,0.0,0.3333333333333333,0.5,0.5,0.5871536731757883,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16,0.25,0.588,0.7111111111111111,0.9,0.30616813384270886,1.0,0.5,0.0,0.9818915206402211,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17,0.2,0.624,0.4444444444444444,0.2,0.384537841639209,0.0,0.5,0.0,0.6012965738228001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,0.18181818181818182,0.8099999999999999,0.5555555555555556,0.6000000000000001,0.6578308348222182,0.6666666666666667,0.5,0.0,0.08459722903537287,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
19,0.2,0.9699999999999999,0.8444444444444444,0.2,0.0,0.3333333333333333,0.5,0.5,0.199061760398118,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
20,0.3333333333333333,0.44800000000000006,0.3555555555555555,0.5,0.0,0.3333333333333333,0.0,0.0,0.14130489461743595,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
21,0.0,0.5339999999999999,0.4,0.7000000000000001,0.46081355182895184,0.0,0.5,0.5,0.35757324824520736,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,0.0,0.636,0.6,0.4,0.40847744197654123,0.3333333333333333,0.5,0.5,0.7919139777848784,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
23,0.0,0.5059999999999999,0.3555555555555555,0.9,0.0,0.3333333333333333,0.5,0.0,0.8396040321850736,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,1.0,0.9999999999999999,0.7999999999999999,0.7000000000000001,0.4311942350776764,0.3333333333333333,0.0,0.0,0.12042060016731597,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25,0.25,0.43200000000000005,0.5777777777777778,0.5,0.5636909790744122,0.3333333333333333,0.0,0.0,0.3420184627631939,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26,0.07142857142857142,0.59,0.688888888888889,0.8,0.0,0.3333333333333333,0.5,0.0,0.8100824628752046,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,0.30434782608695654,0.404,0.5333333333333333,0.8,0.4119686204067955,0.0,0.0,0.5,0.9343792332167721,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28,0.0,0.676,0.5333333333333333,0.5,0.0,0.3333333333333333,0.0,0.0,0.9880479085752689,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
29,0.2857142857142857,0.584,0.33333333333333337,0.9,0.0,0.3333333333333333,0.5,0.5,0.7523896532118818,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
